qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup
XP_063951770.1	5_7302	57.658	111	4.51e-40	142.0	Spurp_XP_030828317	Spurp_XP_030828317	OG0001197
XP_063951770.1	5_10650	57.658	111	1.17e-39	141.0	Spurp_XP_030831665	Spurp_XP_030831665	OG0001197
XP_063951770.1	5_10649	57.658	111	3.32e-39	140.0	Spurp_XP_030831664	Spurp_XP_030831664	OG0001197
XP_063951770.1	5_2502	50.45	111	3.09e-31	117.0	Spurp_XP_003730238	Spurp_XP_003730238	OG0000345
XP_063951770.1	5_38129	50.45	111	3.29e-31	117.0	Spurp_XP_798206	Spurp_XP_798206	OG0000345
XP_063951770.1	5_6679	44.248	113	5.860000000000001e-26	102.0	Spurp_XP_011683634	Spurp_XP_011683634	OG0005768
XP_063951770.1	5_6680	44.248	113	8.08e-26	102.0	Spurp_XP_011683636	Spurp_XP_011683636	OG0005768
XP_063951770.1	5_3272	41.964	112	2.3e-25	101.0	Spurp_XP_011663321	Spurp_XP_011663321	OG0000345
XP_063951770.1	5_10910	44.248	113	4.6899999999999994e-23	94.7	Spurp_XP_030831925	Spurp_XP_030831925	OG0001197
XP_063951770.1	5_5514	38.739	111	2.52e-22	92.4	Spurp_XP_011677085	Spurp_XP_011677085	OG0002395
XP_063951770.1	5_913	43.363	113	4e-22	92.0	Spurp_XP_001201179	Spurp_XP_001201179	OG0008620
XP_063951770.1	5_913	41.429	70	2.48e-11	60.8	Spurp_XP_001201179	Spurp_XP_001201179	OG0008620
XP_063951770.1	5_19464	42.478	113	1.58e-18	81.6	Spurp_XP_030840479	Spurp_XP_030840479	OG0002395
XP_063951770.1	5_1306	47.222	72	3.07e-14	69.3	Spurp_XP_003724791	Spurp_XP_003724791	OG0005768
XP_063951770.1	5_11023	38.182	110	1.5e-13	67.4	Spurp_XP_030832038	Spurp_XP_030832038	OG0000523
XP_063951770.1	5_11014	36.154	130	2.79e-13	66.6	Spurp_XP_030832029	Spurp_XP_030832029	OG0000523
XP_071484756.1	5_36039	68.421	304	3.57e-157	442.0	Spurp_XP_783155	Spurp_XP_783155	OG0001911
XP_071484756.1	5_1262	38.996	259	1.44e-59	194.0	Spurp_XP_003724586	Spurp_XP_003724586	OG0001911
XP_071484756.1	5_4382	36.201	279	4.93e-57	186.0	Spurp_XP_011670169	Spurp_XP_011670169	OG0001911
XP_071484756.1	5_32902	40.0	210	1.36e-45	154.0	Spurp_XP_030853917	Spurp_XP_030853917	OG0001911
XP_071484756.1	5_32898	33.603	247	4.930000000000001e-43	149.0	Spurp_XP_030853913	Spurp_XP_030853913	OG0001911
XP_071484756.1	5_31844	44.0	100	8.64e-22	96.7	Spurp_XP_030852859	Spurp_XP_030852859	OG0004177
XP_071484756.1	5_31844	41.509	106	3.69e-21	94.7	Spurp_XP_030852859	Spurp_XP_030852859	OG0004177
XP_071484756.1	5_31844	39.806	103	6.25e-20	91.3	Spurp_XP_030852859	Spurp_XP_030852859	OG0004177
XP_071484756.1	5_31844	41.237	97	1.35e-18	87.4	Spurp_XP_030852859	Spurp_XP_030852859	OG0004177
XP_071484756.1	5_31844	39.796	98	1.81e-17	84.0	Spurp_XP_030852859	Spurp_XP_030852859	OG0004177
XP_071484756.1	5_31844	40.625	96	3.97e-17	82.8	Spurp_XP_030852859	Spurp_XP_030852859	OG0004177
XP_071484756.1	5_8674	44.0	100	8.72e-22	96.7	Spurp_XP_030829689	Spurp_XP_030829689	OG0004177
XP_071484756.1	5_8674	41.509	106	3.59e-21	95.1	Spurp_XP_030829689	Spurp_XP_030829689	OG0004177
XP_071484756.1	5_8674	39.806	103	6.03e-20	91.3	Spurp_XP_030829689	Spurp_XP_030829689	OG0004177
XP_071484756.1	5_8674	41.237	97	1.35e-18	87.4	Spurp_XP_030829689	Spurp_XP_030829689	OG0004177
XP_071484756.1	5_8674	39.796	98	2.54e-17	83.6	Spurp_XP_030829689	Spurp_XP_030829689	OG0004177
XP_071484756.1	5_8674	40.625	96	5.49e-17	82.4	Spurp_XP_030829689	Spurp_XP_030829689	OG0004177
XP_071484756.1	5_8673	44.0	100	1.1200000000000002e-21	96.3	Spurp_XP_030829688	Spurp_XP_030829688	OG0004177
XP_071484756.1	5_8673	41.509	106	4.5000000000000004e-21	94.7	Spurp_XP_030829688	Spurp_XP_030829688	OG0004177
XP_071484756.1	5_8673	39.806	103	7.78e-20	90.9	Spurp_XP_030829688	Spurp_XP_030829688	OG0004177
XP_071484756.1	5_8673	41.0	100	9.89e-19	87.8	Spurp_XP_030829688	Spurp_XP_030829688	OG0004177
XP_071484756.1	5_8673	44.681	94	5.79e-18	85.5	Spurp_XP_030829688	Spurp_XP_030829688	OG0004177
XP_071484756.1	5_8673	40.625	96	1.49e-17	84.3	Spurp_XP_030829688	Spurp_XP_030829688	OG0004177
XP_071484756.1	5_8673	38.144	97	1.56e-15	78.2	Spurp_XP_030829688	Spurp_XP_030829688	OG0004177
XP_071484756.1	5_31842	44.0	100	1.3100000000000002e-21	96.3	Spurp_XP_030852857	Spurp_XP_030852857	OG0004177
XP_071484756.1	5_31842	41.509	106	5.1800000000000006e-21	94.4	Spurp_XP_030852857	Spurp_XP_030852857	OG0004177
XP_071484756.1	5_31842	39.806	103	8.7e-20	90.9	Spurp_XP_030852857	Spurp_XP_030852857	OG0004177
XP_071484756.1	5_31842	41.0	100	1.14e-18	87.4	Spurp_XP_030852857	Spurp_XP_030852857	OG0004177
XP_071484756.1	5_31842	44.681	94	4.85e-18	85.5	Spurp_XP_030852857	Spurp_XP_030852857	OG0004177
XP_071484756.1	5_31842	40.625	96	1.75e-17	84.0	Spurp_XP_030852857	Spurp_XP_030852857	OG0004177
XP_071484756.1	5_31842	38.144	97	1.22e-15	78.6	Spurp_XP_030852857	Spurp_XP_030852857	OG0004177
XP_071484756.1	5_32250	44.444	90	2.85e-19	89.4	Spurp_XP_030853265	Spurp_XP_030853265	OG0002635
XP_071484756.1	5_32250	45.833	96	6.62e-18	85.1	Spurp_XP_030853265	Spurp_XP_030853265	OG0002635
XP_071484756.1	5_32250	40.196	102	1.02e-17	84.7	Spurp_XP_030853265	Spurp_XP_030853265	OG0002635
XP_071484756.1	5_32250	39.759	83	2.61e-13	71.2	Spurp_XP_030853265	Spurp_XP_030853265	OG0002635
XP_071484756.1	5_32250	46.032	63	1.22e-11	66.2	Spurp_XP_030853265	Spurp_XP_030853265	OG0002635
XP_071484756.1	5_7662	44.444	90	5.24e-18	85.1	Spurp_XP_030828677	Spurp_XP_030828677	OG0002635
XP_071484756.1	5_7662	45.833	96	1.42e-17	84.0	Spurp_XP_030828677	Spurp_XP_030828677	OG0002635
XP_071484756.1	5_7662	38.835	103	4.07e-16	79.3	Spurp_XP_030828677	Spurp_XP_030828677	OG0002635
XP_071484756.1	5_7662	40.964	83	2.29e-13	71.2	Spurp_XP_030828677	Spurp_XP_030828677	OG0002635
XP_071484756.1	5_32247	45.833	96	1.05e-17	84.3	Spurp_XP_030853262	Spurp_XP_030853262	OG0002635
XP_071484756.1	5_32247	43.617	94	2.52e-17	83.6	Spurp_XP_030853262	Spurp_XP_030853262	OG0002635
XP_071484756.1	5_32247	38.462	104	1.02e-15	78.6	Spurp_XP_030853262	Spurp_XP_030853262	OG0002635
XP_071484756.1	5_32247	39.759	83	4.01e-13	70.9	Spurp_XP_030853262	Spurp_XP_030853262	OG0002635
XP_071484756.1	5_7660	45.833	96	2.98e-17	82.8	Spurp_XP_030828675	Spurp_XP_030828675	OG0002635
XP_071484756.1	5_7660	42.105	95	1.4e-15	77.8	Spurp_XP_030828675	Spurp_XP_030828675	OG0002635
XP_071484756.1	5_7660	39.423	104	2.23e-15	77.4	Spurp_XP_030828675	Spurp_XP_030828675	OG0002635
XP_071484756.1	5_7660	40.964	83	4.37e-13	70.5	Spurp_XP_030828675	Spurp_XP_030828675	OG0002635
XP_071484756.1	5_7661	45.833	96	3.14e-17	82.8	Spurp_XP_030828676	Spurp_XP_030828676	OG0002635
XP_071484756.1	5_7661	42.105	95	1.46e-15	77.8	Spurp_XP_030828676	Spurp_XP_030828676	OG0002635
XP_071484756.1	5_7661	39.423	104	2.37e-15	77.4	Spurp_XP_030828676	Spurp_XP_030828676	OG0002635
XP_071484756.1	5_7661	40.964	83	5.18e-13	70.1	Spurp_XP_030828676	Spurp_XP_030828676	OG0002635
XP_071484756.1	5_13146	41.748	103	8.03e-14	73.2	Spurp_XP_030834161	Spurp_XP_030834161	OG0001682
XP_071484756.1	5_13146	41.905	105	2.41e-13	71.6	Spurp_XP_030834161	Spurp_XP_030834161	OG0001682
XP_071484756.1	5_13146	40.206	97	4.71e-11	64.7	Spurp_XP_030834161	Spurp_XP_030834161	OG0001682
XP_071484756.1	5_13446	41.748	103	1.81e-13	72.0	Spurp_XP_030834461	Spurp_XP_030834461	OG0001682
XP_071484756.1	5_13446	41.905	105	4.64e-13	70.9	Spurp_XP_030834461	Spurp_XP_030834461	OG0001682
XP_071484756.1	5_13446	44.872	78	1.88e-11	65.9	Spurp_XP_030834461	Spurp_XP_030834461	OG0001682
XP_071484756.1	5_13446	40.206	97	9.18e-11	63.9	Spurp_XP_030834461	Spurp_XP_030834461	OG0001682
XP_071484756.1	5_10287	37.374	99	4.9e-13	70.5	Spurp_XP_030831302	Spurp_XP_030831302	OG0003033
XP_071484756.1	5_10287	36.17	141	9.64e-13	69.7	Spurp_XP_030831302	Spurp_XP_030831302	OG0003033
XP_071484756.1	5_10287	42.857	98	7.89e-11	63.9	Spurp_XP_030831302	Spurp_XP_030831302	OG0003033
XP_071484756.1	5_10289	37.374	99	5.32e-13	70.5	Spurp_XP_030831304	Spurp_XP_030831304	OG0003033
XP_071484756.1	5_10289	36.17	141	1.03e-12	69.3	Spurp_XP_030831304	Spurp_XP_030831304	OG0003033
XP_071484756.1	5_10289	42.857	98	8.71e-11	63.5	Spurp_XP_030831304	Spurp_XP_030831304	OG0003033
XP_071484756.1	5_10288	37.374	99	5.43e-13	70.5	Spurp_XP_030831303	Spurp_XP_030831303	OG0003033
XP_071484756.1	5_10288	36.17	141	1e-12	69.7	Spurp_XP_030831303	Spurp_XP_030831303	OG0003033
XP_071484756.1	5_10288	42.857	98	9.05e-11	63.5	Spurp_XP_030831303	Spurp_XP_030831303	OG0003033
XP_071484756.1	5_34632	38.596	114	2.6e-12	68.6	Spurp_XP_030855647	Spurp_XP_030855647	OG0000359
XP_071484756.1	5_34632	38.596	114	2.62e-12	68.6	Spurp_XP_030855647	Spurp_XP_030855647	OG0000359
XP_071484756.1	5_34632	38.596	114	2.62e-12	68.6	Spurp_XP_030855647	Spurp_XP_030855647	OG0000359
XP_071484756.1	5_34632	38.596	114	2.62e-12	68.6	Spurp_XP_030855647	Spurp_XP_030855647	OG0000359
