qseqid	sseqid	pident	length	evalue	bitscore	gene_id_raw	gene_id_norm	orthogroup
XP_063951770.1	4_29953	57.798	109	1.36e-39	140.0	PL40784	PL40784	OG0001197
XP_063951770.1	4_30014	57.018	114	8.33e-38	132.0	PL40857	PL40857	OG0000345
XP_063951770.1	4_26236	43.75	112	4.61e-26	101.0	PL35664	PL35664	OG0000345
XP_063951770.1	4_29936	40.708	113	1.3799999999999998e-23	95.1	PL40766	PL40766	OG0005768
XP_063951770.1	4_29785	46.847	111	2.01e-22	91.7	PL40574	PL40574	OG0001197
XP_063951770.1	4_22884	42.478	113	4.63e-22	90.9	PL31143	PL31143	OG0008620
XP_063951770.1	4_29698	40.336	119	1e-18	81.3	PL40459	PL40459	OG0000345
XP_063951770.1	4_29638	35.897	117	9.73e-15	70.1	PL40368	PL40368	OG0000523
XP_063951770.1	4_29376	62.162	37	2.22e-12	62.8	PL40038	PL40038	OG0001197
XP_063951770.1	4_9811	44.286	70	1.65e-11	56.6	PL12882	PL12882	OG0003392
XP_071484756.1	4_5396	36.17	282	4.73e-61	195.0	PL07207	PL07207	OG0001911
XP_071484756.1	4_4415	36.986	292	1.49e-60	196.0	PL05979	PL05979	OG0001911
XP_071484756.1	4_21011	40.777	103	4.570000000000001e-22	96.7	PL28585	PL28585	OG0004177
XP_071484756.1	4_21011	44.0	100	1.7400000000000003e-21	94.7	PL28585	PL28585	OG0004177
XP_071484756.1	4_21011	40.566	106	1.96e-20	91.7	PL28585	PL28585	OG0004177
XP_071484756.1	4_21011	40.206	97	3.48e-18	85.1	PL28585	PL28585	OG0004177
XP_071484756.1	4_21011	41.837	98	1.19e-17	83.6	PL28585	PL28585	OG0004177
XP_071484756.1	4_21011	40.217	92	1.47e-15	77.4	PL28585	PL28585	OG0004177
XP_071484756.1	4_4825	42.553	94	2.81e-18	85.1	PL06495	PL06495	OG0002635
XP_071484756.1	4_4825	40.385	104	6.37e-18	84.3	PL06495	PL06495	OG0002635
XP_071484756.1	4_4825	45.333	75	7.19e-13	68.9	PL06495	PL06495	OG0002635
XP_071484756.1	4_6879	38.71	93	3.09e-13	70.5	PL09094	PL09094	OG0001682
XP_071484756.1	4_6879	43.299	97	5.24e-13	69.7	PL09094	PL09094	OG0001682
XP_071484756.1	4_6780	40.517	116	1.38e-12	67.8	PL08971	PL08971	OG0001682
XP_071484756.1	4_6780	42.056	107	3.36e-12	66.6	PL08971	PL08971	OG0001682
XP_071484756.1	4_29741	43.75	96	5.56e-12	66.2	PL40515	PL40515	OG0003033
XP_071484756.1	4_29741	34.074	135	1.7e-11	64.7	PL40515	PL40515	OG0003033
XP_071484756.1	4_25917	38.542	96	1.2e-11	60.5	PL35233	PL35233	Unmapped
XP_071484756.1	4_7173	26.606	218	1.24e-11	65.5	PL09458	PL09458	OG0001682
XP_071484756.1	4_7173	44.872	78	3.03e-11	64.3	PL09458	PL09458	OG0001682
XP_071484756.1	4_7173	34.677	124	9.91e-11	62.8	PL09458	PL09458	OG0001682
XP_038049352.1	4_5396	34.969	163	2.64e-27	103.0	PL07207	PL07207	OG0001911
XP_011670169.2	4_5396	85.13	269	4.48e-174	480.0	PL07207	PL07207	OG0001911
XP_011670169.2	4_4415	36.255	251	2.53e-51	170.0	PL05979	PL05979	OG0001911
XP_011670169.2	4_21011	44.34	106	2.3099999999999999e-23	99.4	PL28585	PL28585	OG0004177
